movie_date,movie_name,movie_url
"日期：2019-10-29 22:31:11 
点击：0 ",2019年动画喜剧《愤怒的小鸟2》BD国英双语双字,https://www.dytt8.net/html/gndy/dyzz/20191030/59315.html
"日期：2019-10-28 10:51:46 
点击：0 ",2019年科幻动作《地狱厨房》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191029/59312.html
"日期：2019-10-28 10:44:26 
点击：0 ",2019年恐怖《在黑暗中讲述的恐怖故事》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191029/59311.html
"日期：2019-10-27 23:37:47 
点击：0 ",2019年《速度与激情：特别行动》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191027/59310.html
"日期：2019-10-27 02:16:20 
点击：0 ",2019年任达华梁咏琪《小Q》HD国粤双语中字,https://www.dytt8.net/html/gndy/dyzz/20191027/59309.html
"日期：2019-10-25 11:22:44 
点击：0 ",2019年悬疑动作《扫毒2天地对决》BD国粤双语中字,https://www.dytt8.net/html/gndy/dyzz/20191026/59301.html
"日期：2019-10-25 01:44:28 
点击：0 ",2019年剧情《狂赌之渊电影版》BD日语中字,https://www.dytt8.net/html/gndy/dyzz/20191026/59300.html
"日期：2019-10-24 01:25:53 
点击：0 ",2018年剧情传记《接球手间谍》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191025/59298.html
"日期：2019-10-23 11:07:24 
点击：0 ",2019年奇幻《诛仙Ⅰ/诛仙电影版》HD国语中字,https://www.dytt8.net/html/gndy/dyzz/20191024/59295.html
"日期：2019-10-22 18:02:55 
点击：0 ",2019年悬疑恐怖《暗战》BD韩语中字,https://www.dytt8.net/html/gndy/dyzz/20191022/59290.html
"日期：2019-10-22 01:06:13 
点击：0 ",2019年惊悚悬疑《警告/死亡公式》BD国西双语中字,https://www.dytt8.net/html/gndy/dyzz/20191022/59289.html
"日期：2019-10-21 13:30:04 
点击：0 ",2019年惊悚恐怖《凶机恶煞/厄铃》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191021/59286.html
"日期：2019-10-21 13:27:51 
点击：0 ",2019年奇幻动画《神奇女侠：血脉》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191021/59285.html
"日期：2019-10-19 11:20:25 
点击：0 ",2018年惊悚剧情《王国/骗局》BD中字,https://www.dytt8.net/html/gndy/dyzz/20191020/59278.html
"日期：2019-10-19 00:51:25 
点击：0 ",2019年恐怖《禁闭男童》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191020/59277.html
"日期：2019-10-16 21:33:00 
点击：0 ",2019年奇幻动画《罗小黑战记》HD国语中字,https://www.dytt8.net/html/gndy/dyzz/20191017/59271.html
"日期：2019-10-16 00:59:53 
点击：0 ",2019年动作战争《锅盖头4：回归法制》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191017/59270.html
"日期：2019-10-15 10:56:45 
点击：0 ",2019年惊悚《在无爱之森呐喊》BD日语中字,https://www.dytt8.net/html/gndy/dyzz/20191016/59264.html
"日期：2019-10-15 01:29:40 
点击：0 ",2019年传记《拾芳/朝花夕拾·芳华绝代》BD国粤双语中字,https://www.dytt8.net/html/gndy/dyzz/20191016/59263.html
"日期：2019-10-14 01:24:21 
点击：0 ",2019年动画《哆啦A梦：大雄的月球探险记》HD日语中字,https://www.dytt8.net/html/gndy/dyzz/20191015/59259.html
"日期：2019-10-13 01:31:27 
点击：0 ",2019年动画冒险《狮子王》BD国粤英三语双字,https://www.dytt8.net/html/gndy/dyzz/20191014/59256.html
"日期：2019-10-13 01:26:17 
点击：0 ",2019年高分剧情《续命之徒：绝命毒师电影》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191014/59255.html
"日期：2019-10-12 12:45:38 
点击：0 ",2019年惊悚悬疑《断裂/断线/曲折》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191013/59253.html
"日期：2019-10-12 02:42:54 
点击：0 ",2019年动作喜剧《如珠如宝的人生》BD国粤双语中字,https://www.dytt8.net/html/gndy/dyzz/20191013/59252.html
"日期：2019-10-11 18:10:58 
点击：0 ",2019年奇幻动画《哪吒之魔童降世》HD国语中字,https://www.dytt8.net/html/gndy/dyzz/20191011/59248.html
"日期：2019-10-10 02:08:01 
点击：0 ",2019年动画喜剧《爱宠大机密2》BD英国粤三语双字,https://www.dytt8.net/html/gndy/dyzz/20191011/59247.html
"日期：2019-10-10 18:16:00 
点击：0 ",2019年喜剧《自卫艺术》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191011/59245.html
"日期：2019-10-09 11:44:37 
点击：0 ",2019年惊悚动作《野兽/缉凶对决》BD韩语中字,https://www.dytt8.net/html/gndy/dyzz/20191010/59241.html
"日期：2019-10-09 02:30:16 
点击：0 ",2018年科幻悬疑《海市蜃楼/风暴》BD国西双语中字,https://www.dytt8.net/html/gndy/dyzz/20191010/59240.html
"日期：2019-10-05 19:22:18 
点击：0 ",2019年悬疑动画《名侦探柯南：绀青之拳》BD国日双语中字,https://www.dytt8.net/html/gndy/dyzz/20191005/59208.html
"日期：2019-10-05 13:45:57 
点击：0 ",2019年惊悚恐怖《高草丛中》BD中英双字幕,https://www.dytt8.net/html/gndy/dyzz/20191005/59205.html
"日期：2019-10-05 00:39:32 
点击：0 ",2019年悬疑剧情《铤而走险》HD国语中英双字,https://www.dytt8.net/html/gndy/dyzz/20191005/59202.html
"日期：2019-10-05 00:36:34 
点击：0 ",2018年动画奇幻《企鹅日记》BD日语中字,https://www.dytt8.net/html/gndy/dyzz/20191005/59201.html
